Mapping Type,نوع الربط,
Medium,متوسط,
Meeting,اجتماع,
Message Examples,أمثلة الرسائل,
Method,الطريقة,
Middle Name,الاسم الأوسط,
Middle Name (Optional),الاسم الأوسط (اختياري),
Monday,الاثنين,
Monthly,شهريًا,
More,المزيد,
More Information,معلومات إضافية,
More...,المزيد...,
Move,نقل,
My Account,حسابي,
New Address,عنوان جديد,
New Contact,جهة اتصال جديدة,
Next,التالي,
No Data,لا توجد بيانات,
No address added yet.,لم تتم إضافة أي عنوان حتى الآن.,
No contacts added yet.,لم تتم إضافة أي جهات اتصال حتى الآن.,
No items found.,لم يتم العثور على أي عناصر.,
None,لا شيء,
Not Permitted,غير مسموح,
Not active,غير نشط,
Notes,ملاحظات,
Number,رقم,
Online,متصل,
Operation,عملية,
Options,خيارات,
Other,آخر,
Owner,المالك,
Page Missing or Moved,الصفحة غير موجودة أو تم نقلها,
Parameter,المعامل,
Password,كلمة المرور,
Payment Gateway,بوابة الدفع,
Payment Gateway Name,اسم بوابة الدفع,
Payments,المدفوعات,
Period,الفترة,
Pincode,الرمز البريدي,
Plan Name,اسم الخطة,
Please enable pop-ups,يرجى تفعيل النوافذ المنبثقة,
Please select Company,يرجى اختيار الشركة,
Please select {0},يرجى اختيار {0},
Please set Email Address,يرجى تحديد عنوان البريد الإلكتروني,
Portal,البوابة,
Portal Settings,إعدادات البوابة,
Preview,معاينة,
Primary,رئيسي,
Print Format,تنسيق الطباعة,
Print Settings,إعدادات الطباعة,
Print taxes with zero amount,طباعة الضرائب ذات المبلغ الصفري,
Private,خاص,
Property,خاصية,
Public,عام,
Published,منشور,
Purchase Manager,مدير المشتريات,
Purchase Master Manager,مدير سجلات المشتريات,
Purchase User,مستخدم المشتريات,
Query Options,خيارات الاستعلام,
Range,النطاق,
Rating,التقييم,
Received,تم الاستلام,
Recipients,المستلمون,
Redirect URL,رابط إعادة التوجيه,
Reference,المرجع,
Reference Date,تاريخ المرجع,
Reference Document,المستند المرجعي,
Reference Document Type,نوع المستند المرجعي,
Reference Owner,مالك المرجع,
Reference Type,نوع المرجع,
Refresh Token,رمز التحديث,
Region,المنطقة,
Rejected,مرفوض,
Reopen,إعادة فتح,
Replied,تم الرد,
Report,تقرير,
Report Builder,منشئ التقارير,
Report Type,نوع التقرير,
Reports,التقارير,
Response,الاستجابة,
Role,دور,
Route,المسار,
Sales Manager,مدير المبيعات,
Sales Master Manager,مدير سجلات المبيعات,
Sales User,مستخدم المبيعات,
Salutation,اللقب,
Sample,عينة,
Saturday,السبت,
Saved,تم الحفظ,
Scan Barcode,مسح الباركود,
Scheduled,مجدول,
Search,بحث,
Secret Key,المفتاح السري,
Select,اختيار,
Select DocType,اختيار نوع المستند,
Send Now,إرسال الآن,
Sent,تم الإرسال,
Series {0} already used in {1},الترقيم المتسلسل {0} مستخدم بالفعل في {1},
Service,خدمة,
Set as Default,تعيين كافتراضي,
Settings,الإعدادات,
Shipping,الشحن,
Short Name,الاسم المختصر,
Slideshow,عرض الشرائح,
Some information is missing,بعض المعلومات مفقودة,
Source,المصدر,
Source Name,اسم المصدر,
Standard,قياسي,
Start Date,تاريخ البدء,
Start Import,بدء الاستيراد,
State,المحافظة,
Stopped,متوقف,
Subject,الموضوع,
Submit,اعتماد,
Successful,تم بنجاح,
Summary,ملخص,
Sunday,الأحد,
System Manager,مدير النظام,
Target,الهدف,
Task,مهمة,
Tax Category,فئة الضريبة,
Test,اختبار,
Thank you,شكرًا لك,
The page you are looking for is missing. This could be because it is moved or there is a typo in the link.,الصفحة التي تبحث عنها غير موجودة. قد تكون نُقلت أو يوجد خطأ في الرابط.,
Timespan,النطاق الزمني,
To,إلى,
To Date,إلى تاريخ,
Tools,الأدوات,
Traceback,تتبع الخطأ,
URL,الرابط,
Unsubscribed,تم إلغاء الاشتراك,
Use Sandbox,استخدام بيئة الاختبار,
User,المستخدم,
User ID,معرّف المستخدم,
Users,المستخدمون,
Validity,الصلاحية,
Warning,تحذير,
Website,الموقع الإلكتروني,
Website Manager,مدير الموقع الإلكتروني,
Website Settings,إعدادات الموقع الإلكتروني,
Wednesday,الأربعاء,
Week,أسبوع,
Weekdays,أيام الأسبوع,
Weekly,أسبوعيًا,
Welcome email sent,تم إرسال رسالة الترحيب,
Workflow,سير العمل,
You need to be logged in to access this page,يجب تسجيل الدخول للوصول إلى هذه الصفحة,
old_parent,old_parent,
{0} is mandatory,{0} إلزامي,
 to your browser,لمتصفحك,
"""Company History""","""نبذة عن الشركة""",
"""Parent"" signifies the parent table in which this row must be added","""الأم"" يدل على الجدول الأصل الذي يجب أن يضاف هذا الصف",
"""Team Members"" or ""Management""","""أعضاء الفريق"" أو ""الإدارة""",
&lt;head&gt; HTML,HTML,
'In Global Search' not allowed for type {0} in row {1},"""في البحث عام"" غير مسموح للنوع {0} في الصف {1}",
'In List View' not allowed for type {0} in row {1},'في عرض القائمة' غير مسموح للنوع {0} في الصف {1},
'Recipients' not specified,"لم يتم تحديد ""المستلمين""",
(Ctrl + G),(كنترول + G),
** Failed: {0} to {1}: {2},** فشل: {0} إلى {1}: {2},
**Currency** Master,سجل **العملات**,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - مسودة؛ 1 - معتمد؛ 2 - ملغي,
0 is highest,0 أعلى قيمة,
1 Currency = [?] Fraction\nFor e.g. 1 USD = 100 Cent,وحدة واحدة من العملة =؟ أجزاء صغيرة من العملة. على سبيل المثال : 1 ريال سعودي = 100 هللة.,
1 comment,تعليق واحد,
1 hour ago,منذ 1 ساعة,
1 minute ago,منذ 1 دقيقة,
1 month ago,قبل شهر,
1 year ago,منذ سنة,
; not allowed in condition,; غير مسموح به في حالة,
"<h4>Default Template</h4>\n<p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p>\n<pre><code>{{ address_line1 }}&lt;br&gt;\n{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}\n{{ city }}&lt;br&gt;\n{% if state %}{{ state }}&lt;br&gt;{% endif -%}\n{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}\n{{ country }}&lt;br&gt;\n{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}\n{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}\n{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}\n</code></pre>","<h4>القالب الافتراضي</h4>\n<p>يستخدم <a href=""http://jinja.pocoo.org/docs/templates/"">قوالب Jinja</a>، وستكون جميع حقول العنوان (بما في ذلك الحقول المخصصة إن وجدت) متاحة</p>\n<pre><code>{{ address_line1 }}&lt;br&gt;\n{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}\n{{ city }}&lt;br&gt;\n{% if state %}{{ state }}&lt;br&gt;{% endif -%}\n{% if pincode %} PIN: {{ pincode }}&lt;br&gt;{% endif -%}\n{{ country }}&lt;br&gt;\n{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}\n{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}\n{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}\n</code></pre>",
A Lead with this Email Address should exist,يجب أن يكون هناك عميل محتمل بهذا البريد الإلكتروني,
A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,قائمة بالموارد التي سيتمكن تطبيق العميل من الوصول إليها بعد موافقة المستخدم.<br>مثال: project,
A log of request errors,سجل أخطاء الطلبات,
A new account has been created for you at {0},تم إنشاء حساب جديد لك على {0},
A symbol for this currency. For e.g. $,رمز هذه العملة. ر.س مثلاً,
A word by itself is easy to guess.,الكلمة المنفردة يسهل تخمينها.,
API Endpoint Args,معاملات نقطة نهاية API,
API Key cannot be  regenerated,لا يمكن إعادة إنشاء مفتاح واجهة برمجة التطبيقات,
API Password,كلمة مرور API,
API Secret,سر API,
API Username,اسم مستخدم API,
ASC,تصاعدي,
About Us Settings,إعدادات من نحن,
About Us Team Member,عضو فريق صفحة من نحن,
Accept Payment,قبول الدفع,
Access Key ID,معرف مفتاح الوصول,
Access Token URL,رابط رمز الوصول,
Action Failed,فشل الإجراء,
Action Timeout (Seconds),مهلة الإجراء (بالثواني),
"Actions for workflow (e.g. Approve, Cancel).",إجراءات سير العمل (مثل: اعتماد، إلغاء).,
Active Domains,النطاقات النشطة,
Active Sessions,الجلسات النشطة,
Activity Log,سجل النشاط,
Activity log of all users.,سجل النشاط لجميع المستخدمين.,
Add / Manage Email Domains.,إضافة / إدارة نطاقات البريد الإلكتروني.,
Add / Update,إضافة / تحديث,
Add A New Rule,إضافة قاعدة جديدة,
Add Another Comment,إضافة تعليق آخر,
Add Attachment,إضافة مرفق,
Add Column,إضافة عمود,
Add Contact,إضافة جهة اتصال,
Add Contacts,إضافة جهات اتصال,
Add Filter,إضافة عامل تصفية,
Add Group,إضافة مجموعة,
Add New Permission Rule,إضافة قاعدة صلاحيات جديدة,
Add Review,إضافة مراجعة,
Add Signature,إضافة توقيع,
Add Subscribers,إضافة مشتركين,
Add Total Row,إضافة صف الإجمالي,
Add Unsubscribe Link,إضافة رابط إلغاء الاشتراك,
Add User Permissions,إضافة صلاحيات مستخدم,
Add a New Role,إضافة دور جديد,
Add a column,إضافة عمود,
Add a comment,إضافة تعليق,
Add a new section,إضافة قسم جديد,
Add a tag ...,أضف علامة دلائلية...,
Add all roles,إضافة كافة الأدوار,
Add custom forms.,إضافة نماذج مخصصة.,
Add custom javascript to forms.,إضافة جافا سكريبت الى (forms),
Add fields to forms.,إضافة حقول إلى النماذج.,
Add meta tags to your web pages,أضف علامات التعريف إلى صفحات الويب الخاصة بك,
Add script for Child Table,إضافة البرنامج النصي لجدول الطفل,
Add to table,إضافة إلى الجدول,
Add your own translations,أضف الترجمة الخاصة بك,
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",وأضاف HTML في القسم &lt;head&gt; من صفحة الويب، تستخدم في المقام الأول للتحقق من الموقع و SEO,
Added {0},تمت الإضافة {0},
Adding System Manager to this User as there must be atleast one System Manager,لابد من إضافة صلاحية مدير النظام لهذا المستخدم حيث لابد أن يكون هناك على الأقل مستخدم له هذه الصلاحية,
Additional Permissions,ضوابط إضافية,
Address Template,نموذج العنوان,
Address Title is mandatory.,عنوان العنوان إلزامي.,
Address and other legal information you may want to put in the footer.,العنوان وغيرها من المعلومات القانونية قد تحتاج لوضع في تذييل الصفحة.,
Addresses And Contacts,العناوين و جهات الاتصال,
Adds a client custom script to a DocType,إضافة برنامج نصي عميل مخصص إلى نوع المستند,
Adds a custom field to a DocType,نوع المستند اضافة حقل خاص ل,
Admin,مشرف,
Administrator Logged In,تسجيل دخول مسؤول النظام,
Administrator accessed {0} on {1} via IP Address {2}.,.{2} المسؤول ولج {0} بتاريخ {1} عبر العنوان,
Advanced,متقدم,
Advanced Control,تحكم متقدم,
Advanced Search,البحث المتقدم,
Align Labels to the Right,محاذاة التسميات إلى اليمين,
Align Value,محاذاة القيمة,
All Images attached to Website Slideshow should be public,يجب أن تكون جميع الصور الملحقة لموقع معرض الصور على عام,
All customizations will be removed. Please confirm.,سيتم إزالة كافة التخصيصات. يرجى التأكيد.,
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","جميع حالات سير العمل الممكنة وأدوار سير العمل. خيارات Docstatus: 0 هو ""حفظت"" (1)، هو ""مقدم"" و 2 هو ""ألغي""",
All-uppercase is almost as easy to guess as all-lowercase.,جميع الأحرف الكبيرة تكون سهلة التخمين تقريبا كالأحرف الصغيرة,
Allocated To,المخصصة ل,
Allow,السماح,
Allow Bulk Edit,السماح بتحرير الكل,
Allow Comments,السماح بالتعليقات,
Allow Consecutive Login Attempts ,السماح لمحاولات تسجيل الدخول المتتالية,
Allow Dropbox Access,السماح بالدخول للدروب بوكس,
Allow Edit,السماح بالتعديل,
Allow Guest to View,السماح للزائر بالعرض,
Allow Import (via Data Import Tool),السماح بالاستيراد (عبر أداة استيراد البيانات),
Allow Incomplete Forms,السماح للنماذج الغير مكتمله,
Allow Login After Fail,السماح بتسجيل الدخول بعد الفشل,
Allow Login using Mobile Number,السماح بتسجيل الدخول باستخدام رقم الجوال,
Allow Login using User Name,السماح بتسجيل الدخول باستخدام اسم المستخدم,
Allow Modules,السماح للوحدات النمطية,
Allow Multiple,السماح بالتعدد,
Allow Print,السماح للطباعة,
Allow Print for Cancelled,السماح بالطباعة للإلغاء,
Allow Print for Draft,السماح بالطباعة للمسودة,
Allow Read On All Link Options,السماح للقراءة على كل خيارات الارتباط,
Allow Rename,السماح بإعادة التسمية,
Allow Roles,الصلاحيات المسموح بها,
Allow Self Approval,اسمح بالموافقة الذاتية,
Allow approval for creator of the document,السماح بالموافقة على منشئ المستند,
Allow events in timeline,السماح للأحداث في المخطط الزمني,
Allow in Quick Entry,السماح لأدخال سريع,
Allow on Submit,السماح بالإعتماد,
Allow only one session per user,السماح لجلسة واحدة فقط لكل مستخدم,
Allow page break inside tables,السماح بفواصل الصفحات داخل الجداول,
Allow saving if mandatory fields are not filled,يسمح بحفظ البيانات في حالة عدم ملئ الحقول الإلزامية,
Allow user to login only after this hour (0-24),تسمح للمستخدم لتسجيل الدخول فقط بعد هذه الساعة (0-24),
Allow user to login only before this hour (0-24),تسمح للمستخدم لتسجيل الدخول فقط قبل هذه الساعة (0-24),
Allowed,سمح,
Allowed In Mentions,سمح في المذكرات,
"Allowing DocType, DocType. Be careful!",السماح نوع المستند، نوع المستند. كن حذرا!,
Already Registered,مسجل بالفعل,
Also adding the dependent currency field {0},إضافة حقل العملة التابعة {0},
"Always add ""Draft"" Heading for printing draft documents","دائما إضافة ""كلمة مسودة"" عند طباعة المسودات",
Always use Account's Email Address as Sender,استخدم دائماً حساب البريد الإلكتروني كمرسل,
Always use Account's Name as Sender's Name,استخدم دائمًا اسم الحساب كاسم المرسل,
Amend,تعديل بعد الترحيل,
Amending,المعدل,
Amount Based On Field,المبلغ استنادا إلى الحقل,
Amount Field,حقل المبلغ,
Amount must be greater than 0.,يجب أن تكون كمية أكبر من 0.,
An error occured during the payment process. Please contact us.,حدث خطأ أثناء عملية الدفع. الرجاء التواصل معنا.,
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],ملف أيقونة بصيغة ico. يجب أن تكون 16 × 16 بكسل. تم إنشاؤها باستخدام مولد أيقونات. [favicon-generator.org],
Ancestors Of,أجداد,
Another transaction is blocking this one. Please try again in a few seconds.,معاملة أخرى يتم حظر هذه واحدة. يرجى المحاولة مرة أخرى في بضع ثوان.,
"Another {0} with name {1} exists, select another name",آخر {0} مع اسم {1} موجودا، حدد اسم آخر,
Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.,يمكن استخدام أي لغة الطابعة المستندة إلى سلسلة. تتطلب كتابة الأوامر الأولية معرفة اللغة الأصلية للطابعة التي توفرها الشركة المصنعة للطابعة. يرجى الرجوع إلى دليل المطور الذي توفره الشركة المصنعة للطابعة حول كيفية كتابة الأوامر الأصلية. يتم تقديم هذه الأوامر على جانب الخادم باستخدام Jinja Templating Language.,
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.",بصرف النظر عن مدير النظام، مجموعة أذونات وصلاحيات المستخدم يمكن تعيينها لمستخدمين اخرين لنفس نوع المستند.,
Api Access,الوصول إلى Api,
App,تطبيق,
App Access Key,مفتاح وصول التطبيق,
App Client ID,هوية العميل للتطبيق,
App Client Secret,كلمة مرور التطبيق الثانوي,
App Name,اسم التطبيق,
App Secret Key,المفتاح السري للتطبيق,
App not found,لم يتم العثور على التطبيق,
App {0} already installed,التطبيق {0} مثبت مسبقا,
App {0} is not installed,لم يتم تثبيت التطبيق {0},
Append To,إلحاق ل,
Append To can be one of {0},إلحاق يمكن أن يكون واحدا من {0},
Append To is mandatory for incoming mails,إلحاق إلزامي لرسائل واردة,
"Append as communication against this DocType (must have fields, ""Status"", ""Subject"")","إضافة كإتصال ضد نوع المستند ( يجب أن يتضمن على الحقول، ""الحالة""، ""الموضوع"")",
Applicable Document Types,أنواع المستندات القابلة للتطبيق,
Apply,تطبيق,
Apply Strict User Permissions,تطبيق صلاحيات المستخدم المحدودة,
Apply To All Document Types,تنطبق على جميع أنواع المستندات,
Apply this rule if the User is the Owner,تطبيق هذا الحكم إذا كان المستخدم هو مالك,
Apply to all Documents Types,تنطبق على جميع أنواع الوثائق,
Appreciate,يستفسر,
Appreciation,تقدير,
Archive,أرشيف,
Archived,أرشفة,
Archived Columns,أعمدة من الأرشيف,
Are you sure you want to delete the attachment?,هل أنت متأكد أنك تريد حذف المرفق؟,
Are you sure you want to relink this communication to {0}?,هل أنت متأكد أنك تريد إعادة ربط هذه الاتصالات إلى {0}؟,
Are you sure?,هل أنت واثق؟,
Arial,Arial,
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.",باعتبارها ممارسة أفضل، لا تعين نفس مجموعة قوانين الدخول لأدوار مختلفة. بدلا من ذلك، عين أدوار متعددة لنفس العضو,
Assign Condition,تعيين الشرط,
Assign To Users,تخصيص للمستخدمين,
"Assign one by one, in sequence",تعيين واحد تلو الآخر، في التسلسل,
Assign to me,تعيين لي,
Assign to the one who has the least assignments,كلف الشخص الذي لديه أقل المهام,
Assigned,تم تحديد المهمة,
Assigned By,تعيين بواسطة,
Assigned By Full Name,تعيين بواسطة الاسم كامل,
Assigned By Me,يسندها عني,
Assigned To,كلف إلى,
Assigned To/Owner,تعيين ل / المالك,
Assignment,مهمة,
Assignment Complete,التنازل الكامل,
Assignment Completed,تم إنجاز المهمة,
Assignment Rule,قاعدة الاحالة,
Assignment Rule User,قاعدة مستخدم الاحالة,
Assignment Rules,قواعد الاحالة,
Assignment closed by {0},احالة مغلقة من قبل {0},
Assignment for {0} {1},تعيين لـ {0} {1},
Atleast one field of Parent Document Type is mandatory,"على الأقل حقل واحد من ""نوع المستند الأصل"" إلزامي",
Attach,إرفاق,
Attach Document Print,إرفاق طباعة المستند,
Attach Image,إرفاق صورة,
Attach Print,إرفق طباعة,
Attach Your Picture,إرفاق صورتك,
Attach file for Import,إرفاق ملف للاستيراد,
Attach files / urls and add in table.,إرفاق الملفات / عناوين واضافة في الجدول.,
Attached To DocType,مرفق بنوع المستند,
Attached To Field,مرفق إلى الحقل,
Attached To Name,أرفقت للأسم,
Attachment Limit (MB),الحد مرفق (MB),
Attachment Removed,تم حذف المرفق,
Attempting Connection to QZ Tray...,محاولة الاتصال بـ QZ Tray...,
Attempting to launch QZ Tray...,محاولة إطلاق QZ Tray...,
Auth URL Data,بيانات عنوان المصادقة,
Authenticating...,مصادقة...,
Authentication,المصادقة,
Authentication Apps you can use are: ,تطبيقات المصادقة التي يمكنك استخدامها هي:,
Authentication Credentials,بيانات اعتماد المصادقة,
Authorization Code,رمز التفويض,
Authorize URL,رابط التفويض,
Authorized,مفوّض,
Auto,تلقائي,
Auto Email Report,إرسال التقارير بالبريد الإلكتروني تلقائيًا,
Auto Name,الاسم التلقائي,
Auto Reply Message,رد تلقائي على الرسائل,
Auto assignment failed: {0},فشل التخصيص التلقائي: {0},
Automatically Assign Documents to Users,تخصيص المستندات تلقائيًا للمستخدمين,
Automation,التشغيل الآلي,
Avatar,الصورة الرمزية,
Average,المتوسط,
Average of {0},متوسط {0},
Avoid dates and years that are associated with you.,تجنب التواريخ والسنوات المرتبطة بك.,
Avoid recent years.,تجنب السنوات الحديثة.,
Avoid sequences like abc or 6543 as they are easy to guess,تجنب التسلسلات مثل abc أو 6543 لأنها سهلة التخمين.,
Avoid years that are associated with you.,تجنب السنوات المرتبطة بك.,
Awaiting Password,بانتظار كلمة المرور,
Away,بالخارج,
BCC,BCC,
Back to Desk,العودة إلى المكتب,
Back to Login,العودة إلى تسجيل الدخول,
Background Color,لون الخلفية,
Background Email Queue,قائمة انتظار البريد الإلكتروني في الخلفية,
Background Jobs,خلفية عن الخبرات السابقة,
Background Workers,قائمة العمليات,
Backup,النسخ الاحتياطي,
Backup Frequency,معدل النسخ الاحتياطي,
Backup Limit,الحد الاحتياطي,
Backup job is already queued. You will receive an email with the download link,وظيفة النسخ الاحتياطي بالفعل في قائمة الانتظار. سوف تتلقى رسالة بريد إلكتروني مع رابط التحميل,
Backups,النسخ الاحتياطية,
Banner,الترويسة,
Banner HTML,راية HTML,
Banner Image,راية صورة,
Banner is above the Top Menu Bar.,راية فوق أعلى شريط القوائم.,
Bar,شريط,
Base Distinguished Name (DN),قاعدة الاسم المميز (DN),
Based on Permissions For User,اعتماداً على صلاحيات المستخدم,
Beta,بيتا,
Better add a few more letters or another word,من الأفضل إضافة بضعة أحرف أو كلمة أخرى,
Between,ما بين,
Bio,نبذة,
Birth Date,تاريخ الميلاد,
Block Module,كتلة الوحدة,
Block Modules,كتلة وحدات,
Blocked,محجوب,
Blog,مدونة,
Blog Category,تصنيف المدونة,
Blog Intro,بدايه المدونه,
Blog Introduction,مقدمة المدونه,
Blog Post,منشور المدونه,
Blog Settings,إعدادات المدونه,
Blog Title,عنوان المدونه,
Blogger,مدون,
Bot,آلي,
Both DocType and Name required,كلا نوع المستند واسم المطلوبة,
Both login and password required,كل من تسجيل الدخول وكلمة المرور المطلوبة,
Bounced,وثب,
Braintree Settings,إعدادات برينتري,
Braintree payment gateway settings,إعدادات بوابة الدفع برينتري,
Brand HTML,العلامة التجارية HTML,
Brand Image,صورة العلامة التجارية,
Breadcrumbs,مسار التصفح,
Browser not supported,المتصفح غير مدعوم,
Brute Force Security,القوة الغاشمة للأمن,
Build Report,بناء تقرير,
Bulk Delete,حذف بالجملة,
Bulk Edit {0},تعديل بالجمله {0},
Bulk Rename,إعادة تسمية بالجمله,
Bulk Update,تحديث بالجمله,
Busy,مشغول,
Button,زر,
Button Help,زر المساعدة,
Button Label,زر ملصق,
Bypass Two Factor Auth for users who login from restricted IP Address,تجاوز اثنين عامل عامل للمستخدمين الذين تسجيل الدخول من عنوان إب مقيدة,
Bypass restricted IP Address check If Two Factor Auth Enabled,تجاوز عنوان IP المحظور التحقق في حالة تمكين عامل عامل,
CC,نسخة,
"CC, BCC & Email Template",CC، BCC والبريد الإلكتروني قالب,
CSS,CSS,
CSV,CSV,
Cache Cleared,تحديث الصفحة,
Calculate,إحسب,
Calendar Name,اسم التقويم,
Calendar View,عرض التقويم,
Call,أتصال,
Can Read,يمكنه القراءة,
Can Share,يمكن مشاركة,
Can Write,يمكن كتابة,
Can't identify open {0}. Try something else.,لا يمكن تحديد {0} المفتوح. جرب شيئا آخر.,
Can't save the form as data import is in progress.,لا يمكن حفظ النموذج اثناء استيراد البيانات.,
Cancel {0} documents?,إلغاء {0} وثائق؟,
Cancelled Document restored as Draft,تم استعادة المستند الملغى كمسودة,
Cancelling,إلغاء,
Cancelling {0},الغاء {0},
Cannot Remove,لا يمكن إزالة,
Cannot cancel before submitting. See Transition {0},لا يمكن الإلغاء قبل الإرسال. انظر الانتقال {0},
Cannot change docstatus from 0 to 2,لا يمكن تغيير docstatus 0-2,
Cannot change docstatus from 1 to 0,لا يمكن تغيير docstatus من 1 إلى 0,
Cannot change header content,لا يمكن تغيير محتوى الرأس,
Cannot change state of Cancelled Document. Transition row {0},لا يمكن تغيير حالة الوثيقة ملغاة.,
Cannot change user details in demo. Please signup for a new account at https://erpnext.com,لا يمكن تغيير تفاصيل المستخدم في العرض التوضيحي. يرجى الاشتراك للحصول على حساب جديد في https://erpnext.com,
Cannot create a {0} against a child document: {1},لا يمكن إنشاء {0} ضد مستند طفل: {1},
Cannot delete Home and Attachments folders,لا يمكن حذف المجلدات الرئيسية والمرفقات,
Cannot delete file as it belongs to {0} {1} for which you do not have permissions,لا يمكن حذف الملف لأنه ينتمي إلى {0} {1} الذي ليس لديك أذونات,
Cannot delete or cancel because {0} {1} is linked with {2} {3} {4},لا يمكن حذف أو إلغاء لأن {0} {1} مرتبط مع {2} {3} {4},
